Product Category,Product Name,Units Sold,Returns,Revenue,Customer Rating,Stock Level,Season,Trend Score
Tops,Uniqlo Blue Tops S,327,50,63549.76,3,781,Spring,38.94
Accessories,Gucci Red Accessories XL,436,75,70556.84,3.8,218,Autumn,32.61
Activewear,Uniqlo Yellow Activewear XL,331,1,45326,3.5,93,Winter,26.31
Dresses,H&M Grey Dresses S,120,16,22952.4,4,735,Autumn,13.15
Jeans,Nike Yellow Jeans M,432,59,23754.78,3.1,447,Spring,44.47
Dresses,Levi's Black Dresses L,356,18,39857.89,3.4,949,Winter,128.83
Activewear,Uniqlo Grey Activewear XS,456,87,14198.41,3.1,881,Summer,44.2
Accessories,Nike Pink Accessories M,246,42,38436.64,4,622,Autumn,19.07
Shoes,Zara Black Shoes M,289,57,16464.65,3.4,421,Spring,40
Outerwear,Gucci Blue Outerwear L,356,7,29270.26,3.4,801,Autumn,38.89
Dresses,Uniqlo Red Dresses XS,448,7,83832,4.7,163,Autumn,98.56
Outerwear,Prada Green Outerwear M,123,22,19410.36,3.5,1,Summer,7.23
Activewear,H&M Black Activewear XL,499,3,90505.09,3.6,718,Spring,214.1
Dresses,Nike Blue Dresses S,355,36,18492.01,4.4,603,Winter,129.13
Dresses,Prada Yellow Dresses M,265,25,32277.63,4.4,924,Winter,28.51
Jeans,Levi's Blue Jeans M,350,57,5110.48,3.6,582,Summer,113.91
Outerwear,Uniqlo White Outerwear M,120,12,13002.15,3.1,26,Summer,78.59
Outerwear,Zara Pink Outerwear M,325,54,63738.02,4,568,Spring,39.69
Dresses,Prada Yellow Dresses XL,302,26,7378.97,4.2,953,Summer,25.27
Tops,Gucci Green Tops S,41,2,2687.79,4.2,666,Spring,10.24
Jeans,Levi's Black Jeans XS,262,24,43285.01,4.7,776,Spring,76.62
Dresses,Adidas Black Dresses L,350,36,27540.3,3.3,836,Spring,26.02
Dresses,Adidas Red Dresses XS,427,36,24154.34,3.1,283,Spring,35.37
Dresses,H&M Red Dresses S,122,23,16753.19,3.8,334,Winter,16.47
Shoes,Zara Black Shoes L,59,3,11674.12,4.7,872,Autumn,5.82
Dresses,Gucci Pink Dresses M,458,33,70640.87,4.2,213,Spring,350.69
Dresses,Zara Red Dresses XL,187,13,23498.17,4.2,626,Winter,16.92
Dresses,Prada Black Dresses XS,343,46,38315.42,4.4,94,Spring,35.98
Dresses,Levi's Blue Dresses L,145,13,7649.55,3.5,375,Autumn,10.4
Jeans,Adidas Black Jeans S,353,14,37076.58,3.1,338,Autumn,25.35
Outerwear,Zara Blue Outerwear M,268,15,46018.62,4.3,310,Winter,71.1
Outerwear,Nike Green Outerwear L,421,44,50303.56,4.7,575,Spring,43.96
Jeans,Nike Red Jeans XS,415,66,8532.63,3.9,246,Summer,282.97
Activewear,Nike White Activewear S,340,26,22049.46,3.4,796,Winter,49.29
Accessories,Nike Blue Accessories M,148,9,5677.2,3.5,194,Summer,18.79
Tops,Nike Black Tops L,498,32,63896.77,3.2,79,Winter,66.39
Shoes,Gucci Red Shoes L,186,23,21158.52,4.5,572,Spring,66.86
Jeans,Gucci Red Jeans L,52,1,7952.04,3.8,74,Summer,4.08
Activewear,Adidas White Activewear S,126,17,18381.29,4.3,871,Winter,20.13
Outerwear,H&M Grey Outerwear XS,206,26,20544.8,4.6,175,Autumn,240
Tops,Zara Green Tops L,37,1,2341.2,3.6,885,Autumn,5.51
Outerwear,Nike Blue Outerwear XL,416,53,59853.1,4.6,894,Summer,34.87
Dresses,Nike Grey Dresses XL,426,36,10524.59,4.7,688,Autumn,44
Outerwear,H&M Green Outerwear XL,385,10,36891.7,4.5,235,Summer,1350
Activewear,Gucci Black Activewear M,302,58,24774.96,4.3,905,Summer,38.32
Shoes,Zara Yellow Shoes XS,274,17,27618.78,4.5,542,Spring,38.35
Shoes,Nike Blue Shoes XL,314,18,26435.5,3.2,990,Autumn,58.25
Accessories,H&M Black Accessories XL,394,33,43542.72,4.4,845,Winter,61.64
Jeans,Gucci Black Jeans M,371,57,45640.18,3.5,599,Summer,24.14
Dresses,Uniqlo Grey Dresses M,285,20,22954.5,4.6,823,Winter,29.61
Shoes,Nike Black Shoes XL,496,81,79222.2,3.9,634,Summer,57.11
Outerwear,Nike Green Outerwear S,377,32,39882.93,3.7,714,Winter,44.52
Jeans,Zara Black Jeans L,104,8,19306.8,4,593,Summer,46.38
Dresses,Nike Black Dresses XL,378,36,72927.89,4.4,292,Winter,39.94
Outerwear,Gucci Yellow Outerwear XL,157,26,17507,4.1,802,Autumn,26.75
Accessories,Levi's Black Accessories XS,117,3,19563.19,3.8,42,Spring,33.74
Accessories,Adidas Pink Accessories M,363,58,15198.52,4.8,139,Spring,30.03
Shoes,Uniqlo Blue Shoes M,263,31,39491.71,3.3,563,Autumn,30.24
Activewear,H&M Blue Activewear XL,164,2,5738.12,4,172,Spring,67.71
Accessories,Adidas Pink Accessories XS,493,53,57638.84,4.9,217,Winter,298.2
Tops,Zara Blue Tops M,393,11,47625.35,4.2,986,Winter,42.6
Dresses,H&M Yellow Dresses S,152,20,29366.23,3.4,756,Autumn,15.29
Outerwear,Gucci Grey Outerwear XS,140,16,20090.59,3,541,Summer,8.33
Shoes,Levi's Green Shoes S,152,22,2903.83,3.8,894,Summer,9.98
Outerwear,Levi's Green Outerwear XS,46,0,4981.1,4.8,736,Spring,5.01
Jeans,Zara White Jeans S,247,42,4781.55,4.8,38,Winter,19.95
Tops,Prada Black Tops S,363,18,69569.77,3.8,853,Autumn,31.51
Accessories,Nike Blue Accessories XS,280,43,54320.43,3.2,991,Spring,170.04
Jeans,H&M Red Jeans M,257,6,38950.36,4.5,511,Spring,46.03
Outerwear,Nike Yellow Outerwear S,322,21,6612.44,4.4,612,Spring,69.23
Outerwear,H&M Blue Outerwear XS,156,20,16956.82,3.4,676,Spring,58.83
Dresses,Prada Grey Dresses M,141,13,22603.71,3.8,886,Spring,64.68
Tops,Levi's Black Tops L,269,53,41705.9,4,242,Spring,168.09
Tops,Levi's Grey Tops M,26,1,1286.81,4.4,889,Winter,6.21
Accessories,Nike Black Accessories XL,294,45,12609.99,5,736,Autumn,145.1
Activewear,Gucci White Activewear XS,411,47,19855.3,3.4,692,Spring,28.8
Jeans,Levi's White Jeans M,493,72,20896.21,4.4,437,Spring,87.58
Outerwear,Nike Pink Outerwear XS,52,4,8856.41,3.1,506,Summer,5.32
Outerwear,Prada White Outerwear S,43,8,5730.64,3.1,956,Winter,8.24
Accessories,Gucci Blue Accessories XS,42,1,3212.99,3.3,339,Spring,5.13
Dresses,H&M Black Dresses XL,254,1,3814.13,3.9,121,Autumn,25.33
Tops,Prada Red Tops M,278,28,6376.02,4.6,782,Winter,38.81
Jeans,Adidas Grey Jeans M,295,56,23349.07,3,962,Winter,52.88
Tops,Uniqlo Red Tops L,29,2,1388,3.6,83,Summer,17.61
Accessories,Uniqlo Black Accessories L,325,27,33430.05,4.6,46,Autumn,135.19
Dresses,Uniqlo Grey Dresses XS,218,7,34375.19,4.6,686,Winter,24.53
Shoes,Nike Yellow Shoes XS,190,15,15863.08,3.7,627,Spring,98.85
Accessories,Prada Pink Accessories XS,431,70,73483.19,3.1,617,Winter,31.05
Dresses,Prada Grey Dresses XS,110,10,1992.12,3.4,755,Winter,8.72
Tops,Nike Pink Tops XL,223,0,34257.23,4.4,412,Summer,23.49
Jeans,Uniqlo Pink Jeans XS,25,4,3195.23,3,489,Winter,2.62
Jeans,Levi's Blue Jeans S,386,76,28622.17,4.5,293,Summer,113.05
Outerwear,Zara Blue Outerwear S,441,74,8474.95,4.5,252,Summer,48.32
Accessories,Zara Yellow Accessories L,460,10,71080.55,3.7,960,Winter,87.45
Dresses,Nike Black Dresses M,354,18,43400.37,5,468,Winter,171.08
Shoes,Zara Black Shoes M,249,29,22036.52,3.8,128,Summer,20
Jeans,Zara Green Jeans M,237,11,17077.42,4.9,442,Spring,23.14
Outerwear,Levi's Black Outerwear L,76,7,4974.99,4.9,458,Autumn,7.77
Shoes,Gucci Black Shoes XL,124,12,7718.97,3.1,95,Spring,11.47
Tops,Prada Red Tops XS,388,61,20905.78,3.7,44,Winter,124.73
Dresses,Uniqlo Blue Dresses M,285,42,27104,4.2,465,Autumn,28.82
Jeans,Adidas Pink Jeans S,257,36,14614.72,4.2,783,Spring,24.19
Activewear,Prada White Activewear L,306,60,59617.02,4.8,297,Winter,68.81
Shoes,Zara Pink Shoes XS,177,0,27425.64,3.6,44,Winter,17.93
Shoes,Zara Grey Shoes XS,84,14,15698.23,3.7,128,Spring,6.88
Dresses,Levi's White Dresses M,464,92,33726.19,3.5,306,Autumn,27.5
Outerwear,Prada Green Outerwear L,309,0,40693.48,4.8,606,Winter,38.51
Jeans,Nike Green Jeans L,239,39,18020.7,3.3,911,Summer,13.14
Outerwear,H&M White Outerwear XS,320,63,14453.31,3.9,890,Autumn,137.49
Tops,Zara Grey Tops XS,280,39,44266.46,3.1,140,Autumn,14.98
Dresses,Zara Yellow Dresses S,256,11,27971.51,4.9,780,Autumn,39.76
Accessories,Gucci White Accessories XL,318,31,56076.58,4.5,562,Summer,26.3
Tops,Gucci Black Tops L,111,7,11332.49,4.2,750,Summer,16.07
Jeans,Gucci Black Jeans L,249,22,27769.97,4.2,745,Winter,47.17
Activewear,Prada Red Activewear XS,260,24,22322.73,4.6,693,Winter,22.5
Accessories,Prada Black Accessories XL,221,37,7315.27,3.6,632,Autumn,24.81
Shoes,Nike Blue Shoes M,91,6,16054.66,4.5,997,Autumn,9.52
Outerwear,Zara Pink Outerwear XL,140,13,22852.21,4.6,932,Spring,11.57
Shoes,Nike Green Shoes XL,316,54,13590.61,3.7,894,Spring,265.59
Tops,Prada Green Tops XL,269,19,16405.38,3.6,680,Spring,32.35
Accessories,Uniqlo Green Accessories M,372,53,41834.61,4.5,520,Spring,51.62
Dresses,Levi's Yellow Dresses XL,124,24,1651.29,3.5,580,Summer,8.64
Accessories,Adidas Pink Accessories XL,35,6,5600.51,4.6,259,Winter,3.16
Jeans,Gucci Grey Jeans XL,490,32,24227,4.4,943,Spring,64.06
Jeans,Prada White Jeans S,71,2,970.32,4.1,826,Summer,17.63
Outerwear,Levi's Red Outerwear L,190,17,20451.01,3.2,833,Winter,13.39
Activewear,Nike Black Activewear L,257,41,21909.92,4.4,340,Autumn,65.64
Shoes,Nike White Shoes XL,328,21,19708.47,3.7,644,Winter,894.41
Tops,Zara Yellow Tops S,164,2,29132.58,3.2,897,Winter,12.01
Activewear,Adidas Blue Activewear M,140,15,15942.07,4.2,898,Summer,63.33
Jeans,Adidas Black Jeans M,112,1,7174.55,4.9,508,Autumn,14.53
Tops,Gucci Pink Tops M,208,25,22272.56,4.5,561,Spring,24.78
Activewear,Prada Red Activewear M,252,6,35688.45,4.7,672,Spring,34.66
Tops,Gucci Black Tops M,458,5,64784.17,4.6,138,Winter,65.04
Outerwear,Adidas Red Outerwear M,140,5,8788.4,3.3,737,Summer,9.31
Shoes,Prada Red Shoes L,369,15,27344.75,4.3,962,Spring,88.5
Activewear,H&M Yellow Activewear S,274,34,19399.88,5,333,Summer,30.91
Tops,Levi's Pink Tops XL,363,46,17125.39,3.8,456,Winter,40.56
Tops,Nike Black Tops S,488,85,45216.01,3,8,Autumn,23.83
Outerwear,Nike Grey Outerwear XS,148,4,2533.37,3.7,515,Winter,20.34
Jeans,H&M Green Jeans M,422,34,25843.4,3.6,487,Summer,96.66
Outerwear,Zara White Outerwear XS,155,3,14556.42,3.6,820,Autumn,18.11
Activewear,Adidas Grey Activewear L,409,57,11211.22,3.7,83,Winter,173.65
Tops,Gucci Yellow Tops M,457,80,32865.71,3.2,322,Summer,156.27
Shoes,Nike Yellow Shoes L,153,2,22155.82,4.5,539,Spring,14.35
Shoes,Gucci Yellow Shoes M,53,5,4981.28,4,839,Winter,12.92
Activewear,Levi's Yellow Activewear XL,164,8,29484.74,4.3,796,Summer,21.83
Outerwear,Gucci Red Outerwear S,20,4,2383.13,3.6,412,Spring,1.17
Accessories,Prada Black Accessories XS,130,16,25715.75,3.5,263,Winter,9.43
Jeans,Prada Blue Jeans L,351,29,66353.12,4.6,979,Spring,374.99
Accessories,Nike Grey Accessories XL,326,8,50683.25,4.5,228,Spring,99.38
Activewear,Uniqlo Green Activewear XL,330,64,4037.48,3.2,744,Autumn,104.19
Shoes,Zara Black Shoes XL,490,74,45282.29,5,898,Spring,363.64
Tops,Uniqlo Pink Tops S,316,52,32442.47,4.1,329,Autumn,194.68
Jeans,Uniqlo Pink Jeans L,172,17,7046.13,4.1,355,Winter,12.71
Tops,Uniqlo Yellow Tops XL,269,1,39034.37,3.1,534,Summer,102.32
Jeans,Zara Pink Jeans XS,327,61,5401.48,4.3,875,Spring,178.44
Activewear,Levi's Yellow Activewear M,33,2,773.92,3.9,793,Summer,4.07
Activewear,Uniqlo Blue Activewear M,459,51,78133.17,4.1,71,Summer,880.42
Activewear,Levi's Grey Activewear XS,309,46,6069.11,3.7,172,Spring,48.73
Accessories,H&M Blue Accessories S,485,13,6414.88,3.3,194,Summer,53.77
Accessories,Uniqlo Pink Accessories S,382,6,19977.5,4.7,440,Summer,40.79
Jeans,H&M Black Jeans XL,355,27,26512.58,3.2,682,Summer,20.9
Jeans,Gucci Black Jeans XS,135,20,7674.39,4.9,823,Winter,37.02
Accessories,Adidas Red Accessories XS,410,76,15164.21,3.5,769,Summer,101.74
Tops,Uniqlo Pink Tops L,281,34,32286.01,4.6,663,Winter,27.25
Activewear,H&M Blue Activewear XS,245,36,10388.75,4.5,335,Spring,21.36
Tops,Zara Blue Tops XS,171,26,31787.72,3.4,701,Autumn,11.72
Tops,Uniqlo Pink Tops XS,14,2,328.27,4.5,531,Spring,1.13
Accessories,Nike Red Accessories S,390,16,36492.5,4.5,813,Spring,178.85
Shoes,Prada Yellow Shoes XL,26,1,3747.76,4.4,537,Winter,5.97
Tops,Uniqlo Blue Tops L,393,54,17572.35,4.6,236,Autumn,51.23
Dresses,Adidas White Dresses M,124,7,15242.02,3.9,75,Winter,10.32
Dresses,Nike Yellow Dresses M,286,22,49293.11,3.4,217,Winter,34.52
Accessories,Adidas Pink Accessories L,487,43,10290.54,4.7,18,Winter,51.81
Shoes,Zara Red Shoes XS,171,2,32255.84,3.7,481,Autumn,152.51
Activewear,Adidas Blue Activewear L,24,3,822.35,3.4,312,Summer,35.88
Shoes,Levi's Black Shoes XS,330,19,63786.14,3.9,591,Winter,45.77
Activewear,Prada Red Activewear S,87,12,7381.53,4.4,957,Summer,7.93
Shoes,Prada Green Shoes M,82,7,14239.79,4.2,157,Summer,8.12
Jeans,Uniqlo Green Jeans XS,299,23,21421.39,4.2,316,Summer,25.57
Dresses,Gucci Red Dresses XS,421,2,71518,4.9,113,Summer,102.66
Dresses,H&M Pink Dresses S,147,10,17461.01,3.5,983,Summer,14.73
Shoes,Zara Yellow Shoes L,403,28,30798.64,3.4,113,Summer,227.27
Dresses,Nike Grey Dresses M,231,42,43926.02,4.2,960,Autumn,50.56
Tops,H&M Red Tops XS,453,81,44444.35,3.4,752,Autumn,36.02
Jeans,H&M Blue Jeans S,324,59,4858.76,3.8,373,Summer,48.27
Dresses,Nike Yellow Dresses XL,268,36,36257.1,3,898,Spring,92.19
Accessories,Levi's Green Accessories XS,353,26,31827.45,4.9,480,Autumn,80.88
Dresses,Adidas Grey Dresses M,95,15,4574.09,3.9,565,Autumn,77.81
Tops,Nike Yellow Tops M,243,29,26568.45,3,437,Summer,37.07
Outerwear,Levi's Green Outerwear XL,237,33,45248.68,3.7,303,Winter,54.81
Activewear,H&M Yellow Activewear L,307,21,47318.32,4.2,575,Spring,35.93
Dresses,Gucci Black Dresses L,112,19,1462.2,4.2,738,Summer,16.61
Shoes,Uniqlo Pink Shoes XL,275,3,30840.66,3.9,695,Winter,28.03
Outerwear,Uniqlo Red Outerwear S,189,22,26012.86,3.7,232,Autumn,13.54
Dresses,H&M White Dresses XL,486,28,64747.33,3.4,683,Spring,75.56
Dresses,Adidas Blue Dresses M,217,19,38141.42,3,510,Summer,16.35
Jeans,Uniqlo Blue Jeans M,177,25,8008.34,4.7,22,Winter,46.54
Dresses,H&M Pink Dresses XS,170,21,27632.85,4,999,Spring,14.72
Activewear,Zara Yellow Activewear XL,286,37,54345.44,5,162,Winter,436.84
Accessories,Nike White Accessories XL,481,4,38183.65,3.7,933,Spring,93.18
Outerwear,Adidas Pink Outerwear L,164,15,24792.07,3.5,706,Spring,12.81
Accessories,Levi's Red Accessories XS,93,10,1799.69,4.8,914,Autumn,48.47
Shoes,Adidas Red Shoes XS,389,27,72754.41,4.1,874,Winter,66.41
Outerwear,Adidas Blue Outerwear M,427,32,42717.21,3.4,696,Autumn,373.06
Outerwear,Nike Green Outerwear L,358,12,19287.44,3,589,Winter,22.74
Activewear,Nike Red Activewear XL,206,29,2611.21,3.6,568,Spring,13.78
Dresses,Levi's Yellow Dresses XS,55,5,8055.82,4,551,Winter,7.15
Outerwear,Uniqlo White Outerwear S,459,60,38957.73,4.4,432,Summer,50.78
Outerwear,Uniqlo Pink Outerwear XL,381,37,18974.01,3.5,617,Winter,55.84
Accessories,Prada Red Accessories XS,345,56,18924.78,4.1,669,Summer,28.7
Outerwear,Levi's Pink Outerwear XS,364,29,70286.82,3.4,985,Autumn,35.09
Tops,Adidas Blue Tops L,248,26,12128.81,3.8,225,Summer,27.96
Outerwear,Levi's Blue Outerwear XS,13,1,851.65,3.1,496,Spring,1.4
Activewear,Zara Black Activewear S,253,29,3608.45,4,216,Autumn,22.45
Tops,H&M Black Tops XS,85,9,1372.85,3.9,437,Autumn,68.14
Activewear,Uniqlo Green Activewear S,243,29,35122.57,4.7,663,Summer,96.16
Jeans,Gucci Grey Jeans XL,108,13,13351.86,3.3,2,Winter,81.22
Tops,Prada Pink Tops S,306,61,37608.47,3.5,477,Winter,24.04
Tops,Levi's Black Tops XL,12,1,1787.25,3.3,938,Autumn,1.48
Activewear,Nike Black Activewear M,308,57,30024.17,4.4,448,Spring,77.39
Accessories,Prada Green Accessories S,141,9,18461.52,5,794,Autumn,21.73
Shoes,Uniqlo Green Shoes XL,223,3,24697.56,4.6,858,Spring,30.04
Outerwear,Uniqlo Green Outerwear XL,82,15,14887.95,3.3,81,Winter,8.98
Dresses,Gucci Green Dresses XL,13,2,752.25,4.9,972,Spring,13.65
Shoes,Zara Red Shoes M,322,4,16657.89,4.2,976,Spring,175.05
Outerwear,Uniqlo Black Outerwear XL,208,41,2928.21,4.1,20,Spring,18.83
Shoes,H&M White Shoes S,388,12,32023.7,4.9,881,Autumn,554.94
Activewear,Adidas Black Activewear S,157,8,11170.76,4.2,510,Spring,66.36
Activewear,Adidas Yellow Activewear S,430,67,48900.12,5,383,Summer,49.05
Tops,Nike Grey Tops M,84,14,11086.27,4.6,383,Winter,17.06
Dresses,Zara Yellow Dresses XL,453,20,83798.85,3.1,429,Summer,31.67
Accessories,Prada Grey Accessories S,34,6,4012.05,4.2,175,Winter,3.7
Dresses,Levi's Blue Dresses XL,369,63,48376.76,3.8,308,Autumn,40.52
Shoes,H&M Blue Shoes XL,421,80,26918.99,4.3,91,Autumn,40.95
Dresses,Levi's Grey Dresses XS,493,56,68388.32,3,579,Summer,40.73
Accessories,Gucci Grey Accessories XL,101,16,5613.69,3.6,669,Spring,10.31
Jeans,H&M Black Jeans XL,73,10,4240.64,3.5,394,Summer,5.29
Outerwear,Nike Red Outerwear XS,463,35,62154.09,4.6,871,Autumn,55.01
Outerwear,Adidas Yellow Outerwear XL,247,7,48945.66,4.9,483,Autumn,45.58
Shoes,Levi's Black Shoes L,169,29,32959.63,4.2,688,Autumn,13.49
Jeans,Prada Pink Jeans S,259,13,6753.74,3.6,738,Autumn,21.89
Activewear,Gucci Blue Activewear XS,443,87,51617.61,3.3,584,Autumn,53.67
Tops,Uniqlo Red Tops S,219,34,30273.52,4.1,855,Winter,16.78
Activewear,Prada White Activewear XL,439,0,19544.8,5,745,Winter,61.09
Jeans,H&M Yellow Jeans XL,343,37,56530.4,4.6,210,Autumn,36.37
Shoes,Gucci White Shoes L,366,13,23134.88,4.8,656,Spring,232.43
Outerwear,Levi's Blue Outerwear XL,184,10,29426.32,3.5,676,Autumn,16.01
Tops,Uniqlo White Tops L,96,6,18440.74,4.8,946,Summer,52.17
Accessories,Adidas Pink Accessories XS,425,22,70814.44,4.8,537,Autumn,208.45
Jeans,Adidas Yellow Jeans XL,461,61,74122.28,4.1,225,Autumn,40.14
Accessories,Levi's White Accessories M,230,16,31157.2,4.1,844,Spring,21.96
Outerwear,Uniqlo Blue Outerwear XL,351,50,58468.3,4.1,843,Spring,34.7
Shoes,Gucci Red Shoes XS,428,33,83678.85,3.8,471,Spring,39.07
Outerwear,Adidas Red Outerwear M,232,1,31278.53,3.9,872,Autumn,46.56
Outerwear,Uniqlo Blue Outerwear XL,388,4,59088.77,4.1,434,Autumn,146.59
Outerwear,Adidas Blue Outerwear S,458,25,23433.41,4.9,303,Spring,241.38
Activewear,Gucci Black Activewear XS,345,58,59469.94,4.3,147,Autumn,31.82
Jeans,Uniqlo Pink Jeans XS,89,0,5729.38,4,295,Spring,23.15
Accessories,Uniqlo Pink Accessories M,346,59,34773.04,3.5,486,Autumn,76.91
Accessories,Nike Black Accessories XL,253,24,35158.66,4.3,825,Summer,123.09
Dresses,Uniqlo Yellow Dresses XL,181,2,33996.46,3.6,85,Spring,13.15
Tops,Zara Yellow Tops XS,413,81,56648.25,3.3,265,Spring,89.88
Activewear,Levi's Red Activewear L,215,21,22371.68,3.6,204,Winter,76.66
Jeans,Levi's Yellow Jeans M,371,31,53581.05,4.2,435,Winter,49.21
Activewear,Levi's White Activewear M,471,61,37382.58,3.4,477,Spring,52.45
Activewear,Uniqlo Pink Activewear XS,122,21,13624.78,3.5,733,Winter,10.36
Tops,Nike Pink Tops L,382,30,53525.53,4.3,167,Spring,239.87
Outerwear,Uniqlo White Outerwear XL,299,18,34037.1,4.7,101,Spring,524.09
Shoes,Prada Red Shoes M,31,3,2874.84,5,326,Spring,2.82
Shoes,Uniqlo Black Shoes XL,391,71,35105.18,3.3,449,Autumn,57.11
Jeans,Levi's Green Jeans S,420,72,17478.27,4.7,998,Summer,34.98
Outerwear,H&M Blue Outerwear M,67,4,7984.19,3.3,992,Summer,16.87
Outerwear,Zara Pink Outerwear XS,381,65,39642.96,3.4,106,Autumn,35.67
Activewear,Uniqlo Yellow Activewear S,339,54,46170.08,3.4,454,Summer,31.41
Accessories,Prada Black Accessories L,77,1,7270.29,3.8,698,Autumn,5.97
Dresses,Prada Red Dresses M,324,12,63223.49,4.4,30,Summer,47.22
Jeans,Nike Green Jeans XS,71,0,11295.79,4,525,Spring,17.65
Shoes,Prada Pink Shoes S,91,4,12384.86,4.8,459,Winter,8.5
Dresses,Uniqlo Yellow Dresses M,266,46,46402.1,3.2,604,Autumn,37.01
Outerwear,Zara Black Outerwear L,178,35,11647.06,3.8,915,Autumn,31.19
Outerwear,Prada Green Outerwear XS,495,19,15949.01,3.2,632,Autumn,45.28
Tops,Uniqlo Red Tops M,189,14,15184.37,3.3,81,Autumn,23.98
Activewear,Uniqlo Blue Activewear M,427,41,36656.28,3.5,975,Summer,80.85
Dresses,Adidas White Dresses S,453,75,24290.65,4.6,41,Winter,216.54
Dresses,Prada Green Dresses XS,66,6,7412.38,4,96,Autumn,53.22
Shoes,Uniqlo Black Shoes S,231,13,23461.71,4.8,798,Winter,25.66
